epoch,train_loss,val_loss
1,0.04450115500949323,0.027713136514648795
2,0.027596690179780125,0.02785018691793084
3,0.026573437405750154,0.02759451512247324
4,0.026061814185231923,0.027657797327265143
5,0.025764028634876014,0.027658153790980577
6,0.025362321315333246,0.02772515662945807
7,0.024978080904111265,0.027870980324223638
8,0.024659914523363115,0.027901552617549896
9,0.024316110508516432,0.02810739492997527
10,0.023952715471386908,0.028367799939587712
11,0.023608951922506095,0.02849720581434667
12,0.023335484648123385,0.028690445004031062
13,0.022921331645920872,0.029054236132651567
14,0.022604494448751213,0.0292244222946465
15,0.022136486787348985,0.029485420556738973
16,0.021762270713225007,0.02988226804882288
17,0.02156865131109953,0.030061712488532066
18,0.021292639756575228,0.030264327535405755
19,0.021023218566551805,0.030444176867604256
20,0.02065963330678642,0.03073331736959517
21,0.020342611568048598,0.030961480690166354
22,0.019992074090987445,0.031212700996547937
23,0.019691819697618483,0.03142222668975592
24,0.019407397182658315,0.03166113025508821
25,0.019206662941724063,0.031951408134773374
26,0.019121921341866254,0.031950569711625576
27,0.018789202207699418,0.032172809122130275
28,0.018617297150194646,0.03241224307566881
29,0.018483643094077705,0.032506135292351246
30,0.018181480607017873,0.032680108211934566
31,0.017940211901441218,0.03284823847934604
32,0.01777604972012341,0.0329503258690238
33,0.01758478069677949,0.0333933443762362
34,0.017439310112968086,0.033411316107958555
35,0.017277272744104268,0.03353794198483229
36,0.01703853332437575,0.03380320221185684
37,0.016830561216920614,0.034000467509031296
38,0.016706599667668343,0.034185460302978754
39,0.01656037112697959,0.034246474504470825
40,0.016558498330414295,0.03437536442652345
41,0.01642011716030538,0.034398152492940426
42,0.016188839194364847,0.03448365395888686
43,0.01604813411831856,0.034643793012946844
44,0.01587485030759126,0.03486287733539939
45,0.01578750377520919,0.0349324201233685
46,0.01573774768039584,0.035072213504463434
47,0.0157087208237499,0.03519846638664603
48,0.015660035610198974,0.0353407533839345
49,0.01552046809811145,0.03539953241124749
50,0.015459142532199622,0.03541114553809166
51,0.015368679165840149,0.03549095522612333
52,0.015277453348971903,0.03584682382643223
53,0.015314863668754697,0.03581715328618884
54,0.01524655418470502,0.03581178607419133
55,0.015028379345312714,0.036028044763952494
56,0.014958019321784376,0.0362302758730948
57,0.014983141352422536,0.036222636234015226
58,0.01485351980663836,0.03631602367386222
59,0.014768229774199426,0.036428185645490885
60,0.014665102306753396,0.03649681806564331
61,0.014615283813327551,0.03648010268807411
62,0.014385818061418832,0.03666784707456827
63,0.01436955276876688,0.03683939157053828
64,0.014312045951373874,0.03684258833527565
65,0.014230087702162563,0.03703499399125576
66,0.014131439267657697,0.03706097975373268
67,0.014108875463716686,0.0371460453607142
68,0.014067331096157432,0.03720004390925169
69,0.013892778079025447,0.03736989479511976
70,0.013798368675634266,0.03718188498169184
71,0.013823793735355139,0.037543586920946836
72,0.01366911525838077,0.037534051574766636
73,0.01366853474173695,0.037557074800133705
74,0.013613620772957802,0.03773114550858736
75,0.013568135630339383,0.03771620849147439
76,0.013541525439359247,0.037913546431809664
77,0.013491464126855136,0.03803168190643191
78,0.013412458100356161,0.03796117706224322
79,0.013226704951375724,0.03801629086956382
80,0.013416465604677796,0.038082034327089787
81,0.013415254419669509,0.03820132929831743
82,0.013371354178525507,0.038262941874563694
83,0.013163831364363433,0.03812284441664815
84,0.013121821591630578,0.038362537045031786
85,0.013023820938542485,0.03839317196980119
86,0.013019049633294344,0.038429366424679756
87,0.013021748303435743,0.03852715250104666
88,0.012920157075859607,0.038580401334911585
89,0.012897773925215007,0.03838167665526271
90,0.012913013435900211,0.03875305410474539
91,0.012966839945875108,0.03864405956119299
92,0.012935006339102984,0.03886177251115441
93,0.012867476185783744,0.03898096224293113
94,0.012852132227271796,0.03892702795565128
95,0.012592375464737415,0.038999385200440884
96,0.012568222614936531,0.03889531595632434
97,0.012593166227452457,0.03897315636277199
98,0.012412200216203928,0.039154734928160906
99,0.01245626900345087,0.03925913106650114
100,0.012377201463095844,0.039191390853375196
101,0.012361733289435507,0.0394737608730793
102,0.012458252161741257,0.03946267860010266
103,0.012404190702363848,0.03936497028917074
104,0.012380815390497447,0.03944646939635277
105,0.0124067627126351,0.039321793243288994
106,0.012238406320102512,0.03940422786399722
107,0.012153508001938462,0.03950145933777094
108,0.01217795447446406,0.039458236657083035
109,0.012157243653200566,0.039744699373841286
110,0.012111070286482572,0.039504955522716045
111,0.012175930431112647,0.03966545918956399
112,0.012068081507459283,0.03962791571393609
113,0.01202903282828629,0.03973867045715451
114,0.011869734665378929,0.03996190940961242
115,0.011947282217442989,0.03979787230491638
116,0.011939906212501229,0.039854638278484344
117,0.011857234756462276,0.03986356733366847
118,0.011844096006825566,0.04008415760472417
119,0.011882414435967803,0.040278161875903606
120,0.011899729585275054,0.04021406592801213
121,0.01189159108325839,0.04022003756836057
122,0.011832426395267248,0.04017408424988389
123,0.011709977523423731,0.04019487462937832
124,0.011706162849441171,0.04030650667846203
125,0.011658971849828958,0.04045175015926361
126,0.011760616581887007,0.04043747950345278
127,0.01171404356136918,0.04046463640406728
128,0.011828227969817817,0.04042742121964693
129,0.011686296854168176,0.040268467739224434
130,0.011553254537284374,0.04049576399847865
131,0.011605134862475098,0.04059273470193148
132,0.011616942519322038,0.04069145675748587
133,0.011492361617274582,0.04056234983727336
134,0.011471048090606928,0.0405655475333333
135,0.011560032842680812,0.04070060281082988
136,0.011446787044405937,0.04073117673397064
137,0.01143761936109513,0.04069490637630224
138,0.011398568376898765,0.040544791147112846
139,0.01128693767823279,0.0406945887953043
140,0.011344276904128491,0.0411466252990067
141,0.011314506619237363,0.04071058938279748
142,0.011396493157371878,0.04078426631167531
143,0.011274205637164414,0.04094170453026891
144,0.011297941766679287,0.04094505403190851
145,0.011224402952939272,0.04095303639769554
146,0.011183596798218787,0.04088259255513549
147,0.011146637401543558,0.040779813658446074
148,0.011059475340880453,0.040956790558993816
149,0.011045435885898769,0.04110927879810333
150,0.011072961590252816,0.0411660592071712
151,0.011011120886541903,0.04099588096141815
152,0.011048005474731327,0.04118540370836854
153,0.010989119461737574,0.04131228011101484
154,0.011087195528671146,0.041267357766628265
155,0.011198032903485,0.041435898281633854
156,0.011165246763266624,0.04120417172089219
157,0.011092064902186394,0.041279318276792765
158,0.011066577886231244,0.041430534329265356
159,0.011094706715084612,0.041432516649365425
160,0.010997242480516433,0.04113660426810384
161,0.010930709494277834,0.0414136522449553
162,0.010865605273284017,0.041460375767201185
163,0.010896389186382294,0.041520537342876196
164,0.010945300571620464,0.04147521173581481
165,0.010974689340218901,0.04144966555759311
166,0.010996236116625369,0.0414599422365427
167,0.010915833804756404,0.04134218022227287
168,0.010870424611493946,0.041639719158411026
169,0.01092942503746599,0.04140099138021469
170,0.010869058384560048,0.04146041814237833
171,0.010787962446920573,0.04142392985522747
172,0.010732084605842828,0.04172184644266963
173,0.010776994773186744,0.04158235155045986
174,0.010667023179121316,0.041618377435952425
175,0.010739199258387089,0.041733003687113523
176,0.010747502325102687,0.04182662162929773
177,0.010644697537645697,0.04165105614811182
178,0.010650342702865601,0.041665307711809874
179,0.010633211745880545,0.0418601892888546
180,0.010725055844523013,0.0419449214823544
181,0.010695318528451025,0.04185124672949314
182,0.010571776004508138,0.04190691886469722
183,0.010662994487211109,0.04186924220994115
184,0.010579963494092227,0.04196694679558277
185,0.010603923723101616,0.041809272952377796
186,0.01057757344096899,0.04183202190324664
187,0.010568468039855361,0.04200955992564559
188,0.010633806861005724,0.04211362963542342
189,0.010531998006626964,0.04192003374919295
190,0.010433589131571353,0.042079209350049496
191,0.01058093742467463,0.04212286090478301
192,0.010549732623621822,0.042188933584839106
193,0.010537947108969093,0.04218945698812604
194,0.01055298091378063,0.042010776698589325
195,0.0103910164674744,0.042245246935635805
196,0.010579741327092052,0.04217149782925844
197,0.010391851095482707,0.04183710506185889
198,0.01032769219018519,0.04209279315546155
199,0.010352416196838021,0.042359781451523304
200,0.01032304079271853,0.04240373941138387
201,0.010341311199590563,0.042302004527300596
202,0.01027416589204222,0.04217299772426486
203,0.010296558123081922,0.042427555192261934
204,0.010306414961814881,0.04233241640031338
205,0.010196356032975019,0.0425499863922596
206,0.010169056220911443,0.042305272072553635
207,0.010168362688273192,0.04254400357604027
208,0.010374508565291762,0.0425465852022171
209,0.010222211992368103,0.042516513261944056
210,0.010290156165137888,0.04263336630538106
211,0.010226640314795078,0.042507040314376354
212,0.010244861175306142,0.04257470089942217
213,0.010109681845642626,0.042622595094144344
